Year,Tournament_link
1972,https://www.atptour.com/en/scores/archive/adelaide/7308/1972/draw
1972,https://www.atptour.com/en/scores/archive/london/2064/1972/draw
1972,https://www.atptour.com/en/scores/archive/roanoke/2022/1972/draw
1972,https://www.atptour.com/en/scores/archive/omaha/2036/1972/draw
1972,https://www.atptour.com/en/scores/archive/cleveland-1/9215/1972/draw
1972,https://www.atptour.com/en/scores/archive/richmond/802/1972/draw
1972,https://www.atptour.com/en/scores/archive/des-moines/2061/1972/draw
1972,https://www.atptour.com/en/scores/archive/kansas-city/2062/1972/draw
1972,https://www.atptour.com/en/scores/archive/los-angeles/2057/1972/draw
1972,https://www.atptour.com/en/scores/archive/philadelphia/401/1972/draw
1972,https://www.atptour.com/en/scores/archive/salisbury/355/1972/draw
1972,https://www.atptour.com/en/scores/archive/toronto/302/1972/draw
1972,https://www.atptour.com/en/scores/archive/new-york/2058/1972/draw
1972,https://www.atptour.com/en/scores/archive/north-miami-beach/681/1972/draw
1972,https://www.atptour.com/en/scores/archive/szczecin/657/1972/draw
1972,https://www.atptour.com/en/scores/archive/washington-1/9211/1972/draw
1972,https://www.atptour.com/en/scores/archive/wct-aetna-world-cup/9205/1972/draw
1972,https://www.atptour.com/en/scores/archive/chicago/818/1972/draw
1972,https://www.atptour.com/en/scores/archive/caracas/344/1972/draw
1972,https://www.atptour.com/en/scores/archive/hilton-head/724/1972/draw
1972,https://www.atptour.com/en/scores/archive/macon/2066/1972/draw
1972,https://www.atptour.com/en/scores/archive/sao-paulo/426/1972/draw
1972,https://www.atptour.com/en/scores/archive/monte-carlo/410/1972/draw
1972,https://www.atptour.com/en/scores/archive/san-juan/6817/1972/draw
1972,https://www.atptour.com/en/scores/archive/hong-kong/9216/1972/draw
1972,https://www.atptour.com/en/scores/archive/houston/405/1972/draw
1972,https://www.atptour.com/en/scores/archive/quebec-wct/1498/1972/draw
1972,https://www.atptour.com/en/scores/archive/madrid/2026/1972/draw
1972,https://www.atptour.com/en/scores/archive/nice/6120/1972/draw
1972,https://www.atptour.com/en/scores/archive/bermuda/436/1972/draw
1972,https://www.atptour.com/en/scores/archive/rome/416/1972/draw
1972,https://www.atptour.com/en/scores/archive/denver/389/1972/draw
1972,https://www.atptour.com/en/scores/archive/las-vegas/413/1972/draw
1972,https://www.atptour.com/en/scores/archive/kansas-city-2/9238/1972/draw
1972,https://www.atptour.com/en/scores/archive/dallas/610/1972/draw
1972,https://www.atptour.com/en/scores/archive/bournemouth/347/1972/draw
1972,https://www.atptour.com/en/scores/archive/brussels/406/1972/draw
1972,https://www.atptour.com/en/scores/archive/roland-garros-preliminary-round/9355/1972/draw
1972,https://www.atptour.com/en/scores/archive/roland-garros/520/1972/draw
1972,https://www.atptour.com/en/scores/archive/hamburg/414/1972/draw
1972,https://www.atptour.com/en/scores/archive/manchester/583/1972/draw
1972,https://www.atptour.com/en/scores/archive/bristol/313/1972/draw
1972,https://www.atptour.com/en/scores/archive/manchester/7310/1972/draw
1972,https://www.atptour.com/en/scores/archive/london/311/1972/draw
1972,https://www.atptour.com/en/scores/archive/eastbourne/2049/1972/draw
1972,https://www.atptour.com/en/scores/archive/wimbledon/540/1972/draw
1972,https://www.atptour.com/en/scores/archive/st-louis/652/1972/draw
1972,https://www.atptour.com/en/scores/archive/bretton-woods/706/1972/draw
1972,https://www.atptour.com/en/scores/archive/bastad/316/1972/draw
1972,https://www.atptour.com/en/scores/archive/gstaad/314/1972/draw
1972,https://www.atptour.com/en/scores/archive/newport/2050/1972/draw
1972,https://www.atptour.com/en/scores/archive/dublin/2029/1972/draw
1972,https://www.atptour.com/en/scores/archive/washington/418/1972/draw
1972,https://www.atptour.com/en/scores/archive/columbus/343/1972/draw
1972,https://www.atptour.com/en/scores/archive/kitzbuhel/319/1972/draw
1972,https://www.atptour.com/en/scores/archive/osaka/663/1972/draw
1972,https://www.atptour.com/en/scores/archive/houston/661/1972/draw
1972,https://www.atptour.com/en/scores/archive/amersfoort/317/1972/draw
1972,https://www.atptour.com/en/scores/archive/tanglewood/2051/1972/draw
1972,https://www.atptour.com/en/scores/archive/boston/417/1972/draw
1972,https://www.atptour.com/en/scores/archive/cincinnati/422/1972/draw
1972,https://www.atptour.com/en/scores/archive/tel-aviv/320/1972/draw
1972,https://www.atptour.com/en/scores/archive/houston/717/1972/draw
1972,https://www.atptour.com/en/scores/archive/montreal/421/1972/draw
1972,https://www.atptour.com/en/scores/archive/fort-worth/653/1972/draw
1972,https://www.atptour.com/en/scores/archive/south-orange/707/1972/draw
1972,https://www.atptour.com/en/scores/archive/merion/2030/1972/draw
1972,https://www.atptour.com/en/scores/archive/us-open-preliminary-round/9356/1972/draw
1972,https://www.atptour.com/en/scores/archive/us-open/560/1972/draw
1972,https://www.atptour.com/en/scores/archive/montreal/2052/1972/draw
1972,https://www.atptour.com/en/scores/archive/sacramento/654/1972/draw
1972,https://www.atptour.com/en/scores/archive/seattle/1499/1972/draw
1972,https://www.atptour.com/en/scores/archive/los-angeles/423/1972/draw
1972,https://www.atptour.com/en/scores/archive/alamo/2053/1972/draw
1972,https://www.atptour.com/en/scores/archive/dallas/424/1972/draw
1972,https://www.atptour.com/en/scores/archive/tokyo-wct/9037/1972/draw
1972,https://www.atptour.com/en/scores/archive/midland/6832/1972/draw
1972,https://www.atptour.com/en/scores/archive/vancouver/2048/1972/draw
1972,https://www.atptour.com/en/scores/archive/barcelona/425/1972/draw
1972,https://www.atptour.com/en/scores/archive/essen/2054/1972/draw
1972,https://www.atptour.com/en/scores/archive/nuembrecht/508/1972/draw
1972,https://www.atptour.com/en/scores/archive/paris/7302/1972/draw
1972,https://www.atptour.com/en/scores/archive/stockholm/429/1972/draw
1972,https://www.atptour.com/en/scores/archive/rotterdam/9036/1972/draw
1972,https://www.atptour.com/en/scores/archive/london/2016/1972/draw
1972,https://www.atptour.com/en/scores/archive/rome/2056/1972/draw
1972,https://www.atptour.com/en/scores/archive/johannesburg-wct/9239/1972/draw
1972,https://www.atptour.com/en/scores/archive/brisbane/9341/1972/draw
1972,https://www.atptour.com/en/scores/archive/buenos-aires/303/1972/draw
1972,https://www.atptour.com/en/scores/archive/nitto-atp-finals/605/1972/draw
1972,https://www.atptour.com/en/scores/archive/new-york-2/9206/1972/draw
1972,https://www.atptour.com/en/scores/archive/adelaide/2013/1972/draw
1972,https://www.atptour.com/en/scores/archive/kingston/9204/1972/draw
1973,https://www.atptour.com/en/scores/archive/australian-open/580/1973/draw
1973,https://www.atptour.com/en/scores/archive/baltimore/816/1973/draw
1973,https://www.atptour.com/en/scores/archive/sydney/338/1973/draw
1973,https://www.atptour.com/en/scores/archive/auckland/301/1973/draw
1973,https://www.atptour.com/en/scores/archive/north-miami-beach/681/1973/draw
1973,https://www.atptour.com/en/scores/archive/birmingham/650/1973/draw
1973,https://www.atptour.com/en/scores/archive/roanoke/2022/1973/draw
1973,https://www.atptour.com/en/scores/archive/east-london/262/1973/draw
1973,https://www.atptour.com/en/scores/archive/la-costa/813/1973/draw
1973,https://www.atptour.com/en/scores/archive/omaha/2036/1973/draw
1973,https://www.atptour.com/en/scores/archive/milan/408/1973/draw
1973,https://www.atptour.com/en/scores/archive/des-moines/2061/1973/draw
1973,https://www.atptour.com/en/scores/archive/richmond/802/1973/draw
1973,https://www.atptour.com/en/scores/archive/philadelphia/401/1973/draw
1973,https://www.atptour.com/en/scores/archive/salt-lake-city/2039/1973/draw
1973,https://www.atptour.com/en/scores/archive/copenhagen/481/1973/draw
1973,https://www.atptour.com/en/scores/archive/toronto/302/1973/draw
1973,https://www.atptour.com/en/scores/archive/calgary/2038/1973/draw
1973,https://www.atptour.com/en/scores/archive/salisbury/355/1973/draw
1973,https://www.atptour.com/en/scores/archive/cologne/332/1973/draw
1973,https://www.atptour.com/en/scores/archive/chicago/818/1973/draw
1973,https://www.atptour.com/en/scores/archive/szczecin/657/1973/draw
1973,https://www.atptour.com/en/scores/archive/paramus/2037/1973/draw
1973,https://www.atptour.com/en/scores/archive/san-juan/6817/1973/draw
1973,https://www.atptour.com/en/scores/archive/wct-aetna-world-cup/9205/1973/draw
1973,https://www.atptour.com/en/scores/archive/hilton-head/724/1973/draw
1973,https://www.atptour.com/en/scores/archive/caracas/344/1973/draw
1973,https://www.atptour.com/en/scores/archive/charleston/6945/1973/draw
